title,company,location,link
,엠스컴퍼니,경상북도 칠곡,https://kr.indeed.com/jobs?q=python&vjk=7e83a87e26bdfda0 
,다원,대구 달서구,https://kr.indeed.com/jobs?q=python&vjk=2b6ee5e281495f77 
,달서우리식자재마트,대구 달서구,https://kr.indeed.com/jobs?q=python&vjk=a56dec19ef2a1a5c 
"
(성서) 현대/삼성1차 단순생산 주간/교대 즉시입사 물량많음 각종수당및퇴...",다원,대구,https://kr.indeed.com/jobs?q=python&vjk=64770f5b0312c369 
"
(왜관)자동차부품 단순조립/사출/피더 급여300만이상 정규직전환 통근버스...",엠스컴퍼니,경상북도 칠곡,https://kr.indeed.com/jobs?q=python&vjk=a3f0cc8db3e20671 
"
왜관-자동차부품 소결/사출/선별 시급8876원 급여300만이상 자차시유류...",엠스컴퍼니,대구 달서구,https://kr.indeed.com/jobs?q=python&vjk=7c67d997fb9b9660 
,라미아스텔라,서울 종로구,https://kr.indeed.com/jobs?q=python&vjk=84e2040dadfd1d33 
,휴워스코리아,서울,https://kr.indeed.com/jobs?q=python&vjk=a254b5cc62acbbdf 
,(주)디케이엘피,경상북도 경산,https://kr.indeed.com/jobs?q=python&vjk=8226fbedebc359d0 
,울엄마손메밀묵집,대구 동구,https://kr.indeed.com/jobs?q=python&vjk=3fcc261920bbe1f8 
"
수학,강사(경력자,전공자에한함),대구수성구근무(주3일근무)",선한영향력교육(대치민족,대구,https://kr.indeed.com/jobs?q=python&vjk=47dbd5943b825fb5 
,리빙푸드,서울 관악구,https://kr.indeed.com/jobs?q=python&vjk=a7a81ce4d204f088 
,엘지이노텍,대구,https://kr.indeed.com/jobs?q=python&vjk=b00608a46b79dd83 
"
SK 에코플랜트 QSHE그룹 안전/보건관리 경력직",SK 에코플랜트,대한민국,https://kr.indeed.com/jobs?q=python&vjk=ad0e6013626c28e5 
"
[SDI MEDIA KOREA] 영/한 영상번역/자막 번역 프리랜서",sdimedia hongkong limited,대한민국,https://kr.indeed.com/jobs?q=python&vjk=816826cfa8b93966 
